cntry,blup_slope,cwed
AT,0.2520779506806731,34.25
BE,0.16184396263012832,41.6
CH,0.17420323931902282,36.96666666666667
DE,0.24107175391879024,32.11666666666667
DK,0.2362835192178159,34.2
ES,0.19063138963421344,35.333333333333336
FI,0.17766167801510002,33.93333333333333
FR,0.24134777256064044,38.016666666666666
GB,0.3313722926344052,28.016666666666666
IE,0.26220209512170234,35.233333333333334
IT,0.2934066214307408,29.9
NL,0.1212662202654809,38.25
NO,0.0690382988863345,43.0
PT,0.249010490159631,32.71666666666667
SE,0.2005828740958621,36.96666666666667
